CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
PEDAGOGIA,8,500-600,ENEM/EDITAL UAB,LICENCIATURA,30-50,"EDUCAÇÃO INFANTIL, ENSINO FUNDAMENTAL, COORDENAÇÃO ESCOLAR","3.000,00",15-30,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Educação infantil, ensino fundamental, coordenação pedagógica, gestão escolar.",https://www.unitins.br/nPortal/pedagogia-uab,Humanas & Educação
MATEMÁTICA,8,550-650,ENEM/EDITAL UAB,LICENCIATURA,30-50,"ENSINO (FUNDAMENTAL E MÉDIO), AULAS PARTICULARES","4.100,00",10-20,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Ensino fundamental e médio, pesquisa acadêmica, análise de dados.",https://www.ufpi.br/educacao-a-distancia/matematica,Exatas & Engenharias
HISTÓRIA,8,500-600,ENEM/EDITAL UAB,LICENCIATURA,30-50,"ENSINO, PESQUISA, MUSEUS, CULTURA","3.300,00",10-20,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Ensino, pesquisa, museus, arquivos históricos, produção cultural.",https://www.ufpi.br/educacao-a-distancia/historia,Humanas & Educação
LETRAS,8,500-600,ENEM/EDITAL UAB,LICENCIATURA,30-50,"ENSINO DE LÍNGUAS, TRADUÇÃO, REVISÃO DE TEXTOS","3.000,00",15-25,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Ensino de línguas, revisão de textos, tradução, produção de conteúdo.",https://www.ufpi.br/educacao-a-distancia/letras-portugues,Humanas & Educação
FÍSICA,8,550-650,ENEM/EDITAL UAB,LICENCIATURA,20-30,"ENSINO, PESQUISA, ÁREAS TÉCNICAS","4.000,00",5-15,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Ensino, pesquisa científica, áreas tecnológicas e laboratoriais.",https://uab.unifei.edu.br/sobre/curso-de-fisica-licenciatura/,Exatas & Engenharias
QUÍMICA,8,550-650,ENEM/EDITAL UAB,LICENCIATURA,20-30,"ENSINO, LABORATÓRIOS, INDÚSTRIA","4.000,00",5-15,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Ensino, indústria química, laboratórios, controle de qualidade.",https://www.ufpi.br/educacao-a-distancia/quimica,Exatas & Engenharias
ARTES VISUAIS,8,500-600,ENEM/EDITAL UAB,LICENCIATURA,20-30,"ENSINO, DESIGN, CULTURA, ARTES","2.500,00",5-15,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Ensino, production artística, design, cultura e eventos.",https://www.ufpb.br/ead/artes-visuais,Humanas & Educação
EDUCAÇÃO FÍSICA,8,550-650,ENEM/EDITAL UAB,LICENCIATURA,30-40,"ESCOLAS, ACADEMIAS, PERSONAL TRAINER","2.500,00",10-20,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Ensino, academias, esportes, treinamento, saúde e lazer.",https://www.ufpi.br/educacao-a-distancia/educacao-fisica,Saúde
COMPUTAÇÃO,8,600-700,ENEM/EDITAL UAB,LICENCIATURA,30-40,"TECNOLOGIA, ENSINO, PROGRAMAÇÃO BÁSICA","3.500,00",10-20,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Desenvolvimento de sistemas, programação, suporte técnico, ensino.",https://www.ufpb.br/ead/computacao,Tecnologia & TI
LICENCIATURA EM COMPUTACÃO,8,550-650,ENEM/EDITAL UAB,LICENCIATURA,30-40,"ENSINO DE INFORMÁTICA, EDUCAÇÃO TECNOLÓGICA","3.500,00",10-20,POLO UAB CRATO (CE),EAD,TURNO LIVRE,"Ensino de informática, desenvolvimento de projetos educacionais tecnológicos.",https://www.ifce.edu.br/cursos/licenciatura-em-computacao,Tecnologia & TI
