CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
PEDAGOGIA,8,LIVRE,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"EDUCAÇÃO INFANTIL, ANOS INICIAIS, GESTÃO ESCOLAR","3.200,00-4.500,00",40-60,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"O curso prepara profissionais para compreender e aplicar teorias de ensino e aprendizaje.",Graduação Presencial Licenciatura Pedagogia,Humanas & Educação
ADMINISTRAÇÃO,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"GERENCIAMENTO, PLANEJAMENTO ESTRATÉGICO, FINANÇAS","4.500,00-7.000,00",30-45,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Focado na gestão organizacional, este curso aborda planejamento estratégico e finanças.",Faculdade de Administração: Presencial | UNIASSELVI,Negócios & Gestão
CIÊNCIAS CONTÁBEIS,8,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"GESTÃO FINANCEIRA, TRIBUTÁRIA, AUDITORIA, PERÍCIAS","4.200,00-6.500,00",25-35,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Capacita o estudante a registrar, analisar e interpretar os eventos econômicos.",Graduação em Ciências Contábeis | UNIASSELVI,Negócios & Gestão
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,5,LIVRE,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"CRIAÇÃO, ANÁLISE, TESTES E MANUTENÇÃO DE SOFTWARES","5.500,00-9.000,00",35-50,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Um curso tecnológico voltado para o ciclo de vida dos softwares e programação.",Graduação Presencial Tecnólogo Análise e Desenvolvimento de Sistemas,Tecnologia & TI
ENGENHARIA MECÂNICA,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"PROJETO, FABRICAÇÃO E MANUTENÇÃO DE MÁQUINAS","7.500,00-11.000,00",10-20,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Focado no projeto, fabricação e manutenção de sistemas mecânicos e térmicos.",Curso de Engenharia Mecânica: Bacharelado na UNIASSELVI,Exatas & Engenharias
ENGENHARIA DE PRODUÇÃO,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"OTIMIZAÇÃO DE PROCESSOS PRODUTIVOS INDUSTRIAIS","7.000,00-10.500,00",12-22,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Combina conhecimentos técnicos de engenharia com ferramentas de gestão industrial.",Engenharia de Produção Presencial - Graduação,Exatas & Engenharias
DIREITO,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS REGULADAS,"ADVOCACIA, MAGISTRATURA, PROMOTORIA, CONSULTORIA","4.000,00-7.500,00",25-40,JUAZEIRO DO NORTE - CE,PRESENCIAL,MATUTINO/NOTURNO,"Estuda o ordenamento jurídico, as leis e sua aplicação na sociedade de forma crítica.",Bacharelado em Direito no Presencial | UNIASSELVI,Humanas & Educação
ENGENHARIA CIVIL,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"PLANEJAMENTO, PROJETO E GESTÃO DE INFRAESTRUTURA","7.200,00-11.000,00",12-20,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Capacita para o projeto, construção e manutenção de infraestruturas e edifícios.",Engenharia Civil,Exatas & Engenharias
ARQUITETURA E URBANISMO,10,LIVRE,VESTIBULAR/ENEM,BACHARELADO,VAGAS POR TURMA,"PROJETOS ARQUITETÔNICOS, PAISAGISMO, URBANISMO","5.500,00-8.500,00",12-22,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Une arte, técnica e sensibilidade para projetar espaços humanos e cidades.",Arquitetura e Urbanismo Presencial - Graduação,Humanas & Educação
PUBLICIDADE E PROPAGANDA,7,LIVRE,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"CAMPANHAS PUBLICITÁRIAS, MÍDIA, MARKETING DIGITAL","3.500,00-5.500,00",15-25,JUAZEIRO DO NORTE - CE,PRESENCIAL,NOTURNO,"Voltado para a comunicação social, direção de arte e posicionamento de marcas.",Publicidade e Propaganda Presencial | UNIASSELVI,Humanas & Educação
