CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ARQUITETURA E URBANISMO,10,650-720,"ENEM, VESTIBULAR, TRANSFERÊNCIA",BACHARELADO,N/A,"PROJETOS, URBANISMO, INTERIORES","4.000,00-10.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Planejamento urbano e projetos arquitetônicos,Unifacs,Humanas & Educação
PUBLICIDADE E PROPAGANDA,8,550-650,ENEM E VESTIBULAR,BACHARELADO,N/A,"MARKETING, MÍDIA, DESIGN","2.500,00-7.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,"Comunicação, publicidade e branding",https://www.unifacs.br/cursos/graduacao/arquitetura-e-urbanismo-bacharelado/,Humanas & Educação
LOGÍSTICA,4-5,450-550,ENEM E VESTIBULAR,TECNÓLOGO,N/A,"TRANSPORTE, ESTOQUE, GESTÃO","2.000,00-5.000,00",N/A,UNIFASC,PRESENCIAL/EAD,NOITE,Gestão de cadeias logísticas,,Negócios & Gestão
CIÊNCIAS CONTÁBEIS,8,500-620,ENEM E VESTIBULAR,BACHARELADO,N/A,"AUDITORIA, CONTABILIDADE","3.000,00-8.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Gestão financeira e fiscal,https://www.unifacs.br/cursos/graduacao/ciencias-contabeis-bacharelado/,Negócios & Gestão
ADMINISTRAÇÃO,8,500-620,ENEM E VESTIBULAR,BACHARELADO,N/A,"EMPRESAS, RH, FINANÇAS","3.000,00-9.000,00",N/A,UNIFASC,PRESENCIAL/EAD,NOITE,Administration empresarial,https://www.unifacs.br/cursos/graduacao/administracao-bacharelado/,Negócios & Gestão
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,5,500-650,ENEM E VESTIBULAR,TECNÓLOGO,N/A,"PROGRAMAÇÃO E SISTEMAS","4.000,00-12.000,00",N/A,UNIFASC,PRESENCIAL/EAD,NOITE,Desenvolvimento de software,https://www.unifacs.br/cursos/graduacao/analise-e-desenvolvimento-de-sistemas-graduacao-tecnologica/,Tecnologia & TI
CIÊNCIA DA COMPUTAÇÃO,8,650-760,ENEM E VESTIBULAR,BACHARELADO,N/A,"TI, IA, SOFTWARE","5.000,00-15.000,00",N/A,UNIFASC,PRESENCIAL,NOITE,Computação e tecnologia,https://www.unifacs.br/cursos/graduacao/ciencia-da-computacao-bacharelado/,Tecnologia & TI
EDUCAÇÃO FÍSICA,8,500-620,ENEM E VESTIBULAR,BACHARELADO,N/A,"ACADEMIAS, ESCOLAS","2.500,00-6.000,00",N/A,UNIFASC,PRESENCIAL,MATUTINO/NOTURNO,Treinamento físico e saúde,https://www.unifacs.br/cursos/graduacao/educacao-fisica-bacharelado/,Saúde
ENFERMAGEM,10,650-760,ENEM E VESTIBULAR,BACHARELADO,N/A,"HOSPITAIS E CLÍNICAS","3.500,00-8.000,00",N/A,UNIFASC,PRESENCIAL,INTEGRAL,Assistência em saúde,https://www.unifacs.br/cursos/graduacao/enfermagem-bacharelado/,Saúde
FARMÁCIA,10,620-740,ENEM E VESTIBULAR,BACHARELADO,N/A,"FARMÁCIAS E ANÁLISES","4.000,00-9.000,00",N/A,UNIFASC,PRESENCIAL,INTEGRAL,Medicamentos e análises clínicas,https://www.unifacs.br/cursos/graduacao/farmacia-bacharelado/,Saúde
