CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
TECNOLOGIA EM ADMINISTRAÇÃO RURAL,4,N/A,VESTIBULAR ONLINE/ENEM,TECNÓLOGO,ILIMITADO,"GESTÃO DE PROPRIEDADES RURAIS, COOPERATIVAS, EMPRESAS AGRÍCOLAS","3.800,00",N/A,JUAZEIRO DO NORTE E CRATO,A DISTÂNCIA,FLEXÍVEL,"O curso de Administração Rural da Uninter é ideal para quem deseja se tornar um gestor preparado para atuar no agronegócio.",Tecnologia em Administração Rural EAD - UNINTER,Negócios & Gestão
TECNOLOGIA EM DESIGN DE ANIMAÇÃO,4,N/A,VESTIBULAR ONLINE/ENEM,TECNÓLOGO,ILIMITADO,"ESTÚDIOS DE ANIMAÇÃO, PRODUTORAS AUDIOVISUAIS, AGÊNCIAS DE PUBLICIDADE","4.000,00",N/A,JUAZEIRO DO NORTE E CRATO,A DISTÂNCIA,FLEXÍVEL,"Formar profissionais criativos e tecnicamente preparados para desenvolver projetos de animação de forma completa.",Tecnologia em Design de Animação EAD - UNINTER,Humanas & Educação
TECNOLOGIA EM DESIGN DE INTERIORES,4,N/A,VESTIBULAR ONLINE/ENEM,TECNÓLOGO,ILIMITADO,"ESCRITÓRIOS DE DESIGN, LOJAS DE MÓVEIS, CONSTRUÇÃO CIVIL","3.500,00",N/A,JUAZEIRO DO NORTE E CRATO,A DISTÂNCIA,FLEXÍVEL,"Graduação voltada à formação de profissionais capazes de planejar, criar e transformar ambientes internos.",Tecnologia em Design de Interiores EAD,Humanas & Educação
TECNOLOGIA EM DESIGN DE MODA,4,N/A,VESTIBULAR ONLINE/ENEM,TECNÓLOGO,ILIMITADO,"CONFECÇÕES, ATELIÊS, INDÚSTRIAS DE MODA, PRODUÇÃO","3.400,00",N/A,JUAZEIRO DO NORTE E CRATO,A DISTÂNCIA,FLEXÍVEL,"Forma profissionais preparados para atuar no mercado da moda, unindo criação estética e técnica.",Tecnologia em Design de Moda EAD - UNINTER,Humanas & Educação
TECNOLOGIA EM DESIGN DE PRODUTO,4,N/A,VESTIBULAR ONLINE/ENEM,TECNÓLOGO,ILIMITADO,"INDÚSTRIAS DE BENS DE CONSUMO, STARTUPS, PESQUISA","4.200,00",N/A,JUAZEIRO DO NORTE E CRATO,A DISTÂNCIA,FLEXÍVEL,"Voltada ao desenvolvimento de soluções criativas, funcionais e inovadoras para produtos industriais.",Tecnologia em Design de Produto EAD - UNINTER,Humanas & Educação
TECNOLOGIA EM DESIGN GRÁFICO,4,N/A,VESTIBULAR ONLINE/ENEM,TECNÓLOGO,ILIMITADO,"IDENTIDADES VISUAIS, LOGOTIPOS, DIAGRAMAÇÃO, DIGITAL","3.200,00",N/A,JUAZEIRO DO NORTE E CRATO,A DISTÂNCIA,FLEXÍVEL,"Ideal para quem deseja se tornar um designer preparado para atuar na criação de marcas e diagramação.",https://www.uninter.com/graduacao/a-distancia/tecnologia-em-design-grafico/,Humanas & Educação
ARQUITETURA E URBANISMO,10,N/A,VESTIBULAR ONLINE/ENEM,BACHARELADO,ILIMITADO,"EDIFICAÇÕES, PROJETOS RESIDENCIAIS, PLANEJAMENTO URBANO","6.500,00",N/A,JUAZEIRO DO NORTE E CRATO,SEMIPRESENCIAL,FLEXÍVEL,"Ideal para quem deseja se tornar um arquiteto preparado para atuar no zoneamento de cidades sustentáveis.",https://www.uninter.com/graduacao/semipresencial/curso-superior-de-bacharelado-em-arquitetura-e-urbanismo/,Humanas & Educação
BIOMEDICINA,8,N/A,VESTIBULAR ONLINE/ENEM,BACHARELADO,ILIMITADO,"ANÁLISES CLÍNICAS LABORATORIAIS, PESQUISAS BIOLÓGICAS","3.800,00",N/A,JUAZEIRO DO NORTE E CRATO,SEMIPRESENCIAL,FLEXÍVEL,"Ideal para quem deseja se tornar um cientista preparado para atuar na realização de análises laboratoriais.",https://www.uninter.com/graduacao/semipresencial/bacharelado-em-biomedicina/,Saúde
TECNOLOGIA EM PODOLOGIA,4,N/A,VESTIBULAR ONLINE/ENEM,TECNÓLOGO,ILIMITADO,"CUIDADOS, TRATAMENTOS PREVENTIVOS E REABILITAÇÃO DOS PÉS","2.800,00",N/A,JUAZEIRO DO NORTE E CRATO,SEMIPRESENCIAL,FLEXÍVEL,"Ideal para quem deseja se tornar um podólogo preparado para atuar no tratamento de afecções patológicas.",https://www.uninter.com/graduacao/semipresencial/tecnologia-em-podologia/,Saúde
ENGENHARIA AGRONÔMICA,10,N/A,VESTIBULAR ONLINE/ENEM,BACHARELADO,ILIMITADO,"PLANEJAMENTO DE SAFRAS, MANEJO DE SOLOS, DEFESA SANITÁRIA","7.500,00",N/A,JUAZEIRO DO NORTE E CRATO,SEMIPRESENCIAL,FLEXÍVEL,"Ideal para quem deseja se tornar um engenheiro preparado para atuar no manejo de safras e otimização.",https://www.uninter.com/graduacao/semipresencial/curso-superior-de-bacharelado-em-engenharia-agronomica/,Exatas & Engenharias
